timestamp,battery_voltage,humidity,rssi,snr,temperature,gateway_id,losant_id
2024-11-09T05:03:07.185Z,3.618,57.5,-105,8.8,37.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T05:23:06.945Z,3.618,57.5,-105,9,37.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T05:43:06.725Z,3.618,57.1,-103,3.2,37.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T06:03:06.493Z,3.612,56.9,-101,7.8,37.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T06:23:06.311Z,3.612,56.9,-102,9,36.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T06:43:06.054Z,3.612,56.8,-103,8,36,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T07:03:05.845Z,3.618,56.7,-81,8.8,35.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T07:23:05.611Z,3.618,56.6,-81,9.8,34.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T07:43:05.366Z,3.618,56.3,-83,10.2,33.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T08:03:05.162Z,3.618,56.1,-81,7.8,31.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T08:23:04.957Z,3.618,55.8,-85,9.5,29.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T08:43:04.699Z,3.618,55.8,-78,-1,28.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T09:03:04.481Z,3.618,56.2,-83,9,25.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T09:43:04.020Z,3.624,56.6,-83,9,23.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T10:03:03.833Z,3.624,56.8,-85,9.2,22.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T10:23:03.567Z,3.624,57,-85,10,21.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T10:43:03.371Z,3.618,57.2,-83,9.5,21.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T11:03:03.128Z,3.624,57.3,-83,9.2,20.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T12:03:02.412Z,3.624,57.7,-102,9,20.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T12:23:02.230Z,3.624,57.8,-102,8,20.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T12:43:02.065Z,3.618,57.9,-102,7.2,20.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T13:03:01.781Z,3.624,57.9,-106,6.5,20.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T13:23:01.611Z,3.624,58,-105,8.5,20.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T13:43:01.341Z,3.624,58.1,-105,8.8,20.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T14:03:01.054Z,3.624,58.2,-103,8.5,20.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T14:23:00.858Z,3.624,58.2,-103,9,20.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T15:03:00.437Z,3.624,58.5,-105,7.5,20.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T15:23:00.192Z,3.624,58.5,-103,8.5,20.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T16:22:59.491Z,3.624,58.8,-102,9.5,20.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T16:42:59.274Z,3.624,58.9,-102,8,20.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T17:02:59.045Z,3.624,58.9,-102,9.2,20.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T17:42:58.607Z,3.624,59.1,-103,8.2,20,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T18:02:58.367Z,3.624,59.1,-102,6.5,19.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T18:42:57.907Z,3.624,59.3,-102,4.8,19.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T19:22:57.460Z,3.618,59.4,-102,9,19.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T19:42:57.235Z,3.624,59.5,-103,7,19.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T20:02:57.015Z,3.624,59.4,-102,8.5,20.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T21:02:56.301Z,3.624,59.3,-105,9,25.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T21:22:56.103Z,3.618,59.1,-102,8.2,27.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T22:02:55.610Z,3.618,59,-102,5,29.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T22:22:55.395Z,3.618,58.9,-105,8.2,30.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T22:42:55.205Z,3.618,58.7,-103,9,31.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T23:42:54.520Z,3.618,57.9,-103,8.2,33.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T00:02:54.280Z,3.618,57.9,-102,8.5,34.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T00:22:54.075Z,3.618,57.8,-102,8.5,34.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T01:02:53.624Z,3.618,57.5,-107,6.2,34.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T01:22:53.400Z,3.618,57.7,-103,9,34.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T01:42:53.189Z,3.618,57.4,-103,8.2,35,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T02:02:52.964Z,3.618,57.4,-101,7.8,34.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T02:22:52.741Z,3.618,57.6,-105,-4.5,34.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T02:42:52.507Z,3.618,57.3,-102,8.8,34.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T03:02:52.266Z,3.618,57.5,-103,8.8,35.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T03:22:52.069Z,3.618,57.4,-102,7.5,35.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T03:42:51.875Z,3.618,57.3,-97,6.5,36.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T04:02:51.621Z,3.612,57.4,-103,6.5,36.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T04:22:51.407Z,3.618,57.6,-105,8,36.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T04:42:51.211Z,3.612,57.4,-103,9.5,37,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T05:02:50.964Z,3.618,57.6,-102,8,37,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T05:42:50.531Z,3.618,57.8,-102,9,34.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T06:02:50.288Z,3.618,57.8,-105,7,33.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T06:22:50.100Z,3.618,57.8,-103,9,32.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T06:42:49.867Z,3.618,57.7,-105,8.8,32.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T07:02:49.641Z,3.618,57.7,-102,7,31.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T07:22:49.405Z,3.618,57.6,-102,9.2,30.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T07:42:49.175Z,3.618,57.7,-105,7.8,29,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T08:02:48.974Z,3.618,57.5,-100,8.2,28.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T08:22:48.764Z,3.618,57.1,-103,5,26.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T09:02:48.314Z,3.618,57.2,-101,7,24.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T09:22:48.077Z,3.618,57.3,-101,7.5,23.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T10:02:47.626Z,3.618,57.5,-102,9.2,22.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T10:22:47.382Z,3.618,57.6,-105,7.8,22.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T10:42:47.153Z,3.618,57.6,-103,6.2,22.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T11:02:46.943Z,3.618,57.7,-102,8.8,21.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T11:22:46.685Z,3.624,57.8,-107,8.2,21.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T12:02:46.250Z,3.624,58,-102,8.2,21.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T12:22:46.077Z,3.624,58.1,-106,7.5,21.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T12:42:45.805Z,3.618,58.2,-99,-7.2,20.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T13:02:45.540Z,3.618,58.2,-85,8.8,20.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T13:22:45.354Z,3.618,58.3,-83,9.8,20.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T14:02:44.914Z,3.624,58.5,-81,9.5,20.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-10T14:22:44.669Z,3.624,58.5,-82,7.2,20.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
